Freestream Mach,Exchanger Mach,Exchanger Static Pressure (kPa),Exchanger Total Pressure (kPa),Exchanger Static Temperature (K),Exchanger Total Temperature (K)
0,0,643.658,643.658,79.667,79.667
0.5,0.5,553.505,654.374,121.295,126.905
1,1,471.011,883.056,159.815,189.381
1.5,0.699,968.821,1334.75,244.953,267.095
2,0.573,1470.363,1829.145,339.431,360.048
2.5,0.507,1905.575,2263.255,446.982,468.238
3,0.468,2231.052,2584.533,568.627,591.667
3.5,0.444,2428.557,2773.004,704.635,730.333
4,0.427,2510.588,2838.717,855.385,884.238
4.5,0.415,2511.82,2821.141,1020.855,1053.381
5,0.406,2495.402,2788.978,1201.134,1237.762
5.5,0.4,2549.324,2840.095,1396.058,1437.381
6,0.395,2791.334,3101.492,1605.885,1652.238
